TIMESTAMP: 0.000000, X: -2.815132, Y: 18.116280, Z: -11.666667, PITCH: -0.001207, YAW: -0.582887
TIMESTAMP: 0.100000, X: -2.815132, Y: 18.116279, Z: -11.666667, PITCH: -0.001214, YAW: -0.586172
TIMESTAMP: 0.200000, X: -2.815137, Y: 18.116260, Z: -11.666669, PITCH: -0.001250, YAW: -0.603708
TIMESTAMP: 0.300000, X: -2.815161, Y: 18.116179, Z: -11.666678, PITCH: -0.001283, YAW: -0.619377
TIMESTAMP: 0.400000, X: -2.815224, Y: 18.115971, Z: -11.666700, PITCH: -0.001293, YAW: -0.624528
TIMESTAMP: 0.500000, X: -2.815360, Y: 18.115552, Z: -11.666738, PITCH: -0.001309, YAW: -0.631930
TIMESTAMP: 0.600000, X: -2.815609, Y: 18.114822, Z: -11.666797, PITCH: -0.001336, YAW: -0.645349
TIMESTAMP: 0.700000, X: -2.816025, Y: 18.113673, Z: -11.666875, PITCH: -0.001361, YAW: -0.657391
TIMESTAMP: 0.800000, X: -2.816669, Y: 18.111990, Z: -11.666970, PITCH: -0.001379, YAW: -0.666169
TIMESTAMP: 0.900000, X: -2.817614, Y: 18.109653, Z: -11.667071, PITCH: -0.001399, YAW: -0.675704
TIMESTAMP: 1.000000, X: -2.818941, Y: 18.106543, Z: -11.667165, PITCH: -0.001423, YAW: -0.686990
TIMESTAMP: 1.100000, X: -2.820742, Y: 18.102541, Z: -11.667228, PITCH: -0.001445, YAW: -0.697868
TIMESTAMP: 1.200000, X: -2.823119, Y: 18.097533, Z: -11.667235, PITCH: -0.001466, YAW: -0.707810
TIMESTAMP: 1.300000, X: -2.826181, Y: 18.091411, Z: -11.667148, PITCH: -0.001487, YAW: -0.717971
TIMESTAMP: 1.400000, X: -2.830048, Y: 18.084075, Z: -11.666927, PITCH: -0.001509, YAW: -0.728631
TIMESTAMP: 1.500000, X: -2.834845, Y: 18.075433, Z: -11.666520, PITCH: -0.001531, YAW: -0.739174
TIMESTAMP: 1.600000, X: -2.840706, Y: 18.065404, Z: -11.665872, PITCH: -0.001552, YAW: -0.749451
TIMESTAMP: 1.700000, X: -2.847772, Y: 18.053916, Z: -11.664917, PITCH: -0.001573, YAW: -0.759790
TIMESTAMP: 1.800000, X: -2.856188, Y: 18.040911, Z: -11.663585, PITCH: -0.001595, YAW: -0.770272
TIMESTAMP: 1.900000, X: -2.866105, Y: 18.026342, Z: -11.661797, PITCH: -0.001617, YAW: -0.780720
TIMESTAMP: 2.000000, X: -2.877678, Y: 18.010174, Z: -11.659469, PITCH: -0.001638, YAW: -0.791092
TIMESTAMP: 2.100000, X: -2.891066, Y: 17.992386, Z: -11.656512, PITCH: -0.001660, YAW: -0.801482
TIMESTAMP: 2.200000, X: -2.906430, Y: 17.972966, Z: -11.652829, PITCH: -0.001681, YAW: -0.811913
TIMESTAMP: 2.300000, X: -2.923930, Y: 17.951917, Z: -11.648323, PITCH: -0.001703, YAW: -0.822334
TIMESTAMP: 2.400000, X: -2.943731, Y: 17.929253, Z: -11.642888, PITCH: -0.001724, YAW: -0.832733
TIMESTAMP: 2.500000, X: -2.965992, Y: 17.904996, Z: -11.636419, PITCH: -0.001746, YAW: -0.843138
TIMESTAMP: 2.600000, X: -2.990875, Y: 17.879181, Z: -11.628807, PITCH: -0.001768, YAW: -0.853554
TIMESTAMP: 2.700000, X: -3.018537, Y: 17.851852, Z: -11.619941, PITCH: -0.001789, YAW: -0.863967
TIMESTAMP: 2.800000, X: -3.049131, Y: 17.823059, Z: -11.609710, PITCH: -0.001811, YAW: -0.874374
TIMESTAMP: 2.900000, X: -3.082805, Y: 17.792861, Z: -11.598004, PITCH: -0.001832, YAW: -0.884783
TIMESTAMP: 3.000000, X: -3.119703, Y: 17.761322, Z: -11.584714, PITCH: -0.001854, YAW: -0.895195
TIMESTAMP: 3.100000, X: -3.159961, Y: 17.728513, Z: -11.569732, PITCH: -0.001875, YAW: -0.905605
TIMESTAMP: 3.200000, X: -3.203706, Y: 17.694504, Z: -11.552954, PITCH: -0.001897, YAW: -0.916015
TIMESTAMP: 3.300000, X: -3.251058, Y: 17.659372, Z: -11.534281, PITCH: -0.001918, YAW: -0.926427
TIMESTAMP: 3.400000, X: -3.302126, Y: 17.623191, Z: -11.513617, PITCH: -0.001940, YAW: -0.936836
TIMESTAMP: 3.500000, X: -3.357008, Y: 17.586036, Z: -11.490873, PITCH: -0.001962, YAW: -0.947243
TIMESTAMP: 3.600000, X: -3.415791, Y: 17.547980, Z: -11.465967, PITCH: -0.001983, YAW: -0.957656
TIMESTAMP: 3.700000, X: -3.478549, Y: 17.509091, Z: -11.438826, PITCH: -0.002005, YAW: -0.968073
TIMESTAMP: 3.800000, X: -3.545342, Y: 17.469435, Z: -11.409383, PITCH: -0.002026, YAW: -0.978477
TIMESTAMP: 3.900000, X: -3.616217, Y: 17.429069, Z: -11.377582, PITCH: -0.002048, YAW: -0.988874
TIMESTAMP: 4.000000, X: -3.691204, Y: 17.388042, Z: -11.343379, PITCH: -0.002069, YAW: -0.999297
TIMESTAMP: 4.100000, X: -3.770320, Y: 17.346398, Z: -11.306737, PITCH: -0.002091, YAW: -1.009731
TIMESTAMP: 4.200000, X: -3.853563, Y: 17.304166, Z: -11.267635, PITCH: -0.002112, YAW: -1.020118
TIMESTAMP: 4.300000, X: -3.940917, Y: 17.261367, Z: -11.226063, PITCH: -0.002134, YAW: -1.030483
TIMESTAMP: 4.400000, X: -4.032346, Y: 17.218009, Z: -11.182022, PITCH: -0.002156, YAW: -1.040938
TIMESTAMP: 4.500000, X: -4.127798, Y: 17.174086, Z: -11.135531, PITCH: -0.002177, YAW: -1.051433
TIMESTAMP: 4.600000, X: -4.227203, Y: 17.129578, Z: -11.086617, PITCH: -0.002199, YAW: -1.061759
TIMESTAMP: 4.700000, X: -4.330472, Y: 17.084450, Z: -11.035327, PITCH: -0.002220, YAW: -1.072012
TIMESTAMP: 4.800000, X: -4.437499, Y: 17.038652, Z: -10.981720, PITCH: -0.002242, YAW: -1.082579
TIMESTAMP: 4.900000, X: -4.548158, Y: 16.992118, Z: -10.925870, PITCH: -0.002264, YAW: -1.093285
TIMESTAMP: 5.000000, X: -4.662306, Y: 16.944765, Z: -10.867865, PITCH: -0.002285, YAW: -1.103400
TIMESTAMP: 5.100000, X: -4.779782, Y: 16.896495, Z: -10.807809, PITCH: -0.002305, YAW: -1.113251
TIMESTAMP: 5.200000, X: -4.900408, Y: 16.847192, Z: -10.745820, PITCH: -0.002328, YAW: -1.124220
TIMESTAMP: 5.300000, X: -5.023986, Y: 16.796725, Z: -10.682032, PITCH: -0.002352, YAW: -1.135727
TIMESTAMP: 5.400000, X: -5.150305, Y: 16.744947, Z: -10.616589, PITCH: -0.002371, YAW: -1.145041
TIMESTAMP: 5.500000, X: -5.279136, Y: 16.691696, Z: -10.549652, PITCH: -0.002388, YAW: -1.152963
TIMESTAMP: 5.600000, X: -5.410234, Y: 16.636796, Z: -10.481394, PITCH: -0.002414, YAW: -1.165920
TIMESTAMP: 5.700000, X: -5.543342, Y: 16.580058, Z: -10.411997, PITCH: -0.002459, YAW: -1.188048
TIMESTAMP: 5.800000, X: -5.678189, Y: 16.521283, Z: -10.341658, PITCH: -0.002516, YAW: -1.215133
TIMESTAMP: 5.900000, X: -5.814491, Y: 16.460260, Z: -10.270581, PITCH: -0.002571, YAW: -1.240773
