TIMESTAMP: 0.000000, X: 0.448813, Y: -0.189418, Z: -3.999186, PITCH: 0.610865, YAW: 0.725533
TIMESTAMP: 0.100000, X: 0.448812, Y: -0.189419, Z: -3.999190, PITCH: 0.614196, YAW: 0.729489
TIMESTAMP: 0.200000, X: 0.448800, Y: -0.189435, Z: -3.999244, PITCH: 0.631980, YAW: 0.750612
TIMESTAMP: 0.300000, X: 0.448753, Y: -0.189501, Z: -3.999469, PITCH: 0.647871, YAW: 0.769484
TIMESTAMP: 0.400000, X: 0.448631, Y: -0.189669, Z: -4.000052, PITCH: 0.653095, YAW: 0.775690
TIMESTAMP: 0.500000, X: 0.448386, Y: -0.190008, Z: -4.001235, PITCH: 0.660602, YAW: 0.784608
TIMESTAMP: 0.600000, X: 0.447965, Y: -0.190594, Z: -4.003303, PITCH: 0.674210, YAW: 0.800769
TIMESTAMP: 0.700000, X: 0.447308, Y: -0.191512, Z: -4.006574, PITCH: 0.686423, YAW: 0.815273
TIMESTAMP: 0.800000, X: 0.446356, Y: -0.192849, Z: -4.011391, PITCH: 0.695326, YAW: 0.825848
TIMESTAMP: 0.900000, X: 0.445048, Y: -0.194692, Z: -4.018113, PITCH: 0.704996, YAW: 0.837335
TIMESTAMP: 1.000000, X: 0.443328, Y: -0.197129, Z: -4.027105, PITCH: 0.716441, YAW: 0.850927
TIMESTAMP: 1.100000, X: 0.441144, Y: -0.200241, Z: -4.038734, PITCH: 0.727473, YAW: 0.864029
TIMESTAMP: 1.200000, X: 0.438450, Y: -0.204103, Z: -4.053359, PITCH: 0.737556, YAW: 0.876006
TIMESTAMP: 1.300000, X: 0.435207, Y: -0.208783, Z: -4.071330, PITCH: 0.747861, YAW: 0.888246
TIMESTAMP: 1.400000, X: 0.431386, Y: -0.214338, Z: -4.092975, PITCH: 0.758672, YAW: 0.901085
TIMESTAMP: 1.500000, X: 0.426966, Y: -0.220816, Z: -4.118604, PITCH: 0.769364, YAW: 0.913784
TIMESTAMP: 1.600000, X: 0.421938, Y: -0.228251, Z: -4.148499, PITCH: 0.779787, YAW: 0.926164
TIMESTAMP: 1.700000, X: 0.416304, Y: -0.236665, Z: -4.182912, PITCH: 0.790272, YAW: 0.938618
TIMESTAMP: 1.800000, X: 0.410079, Y: -0.246066, Z: -4.222063, PITCH: 0.800902, YAW: 0.951243
TIMESTAMP: 1.900000, X: 0.403286, Y: -0.256450, Z: -4.266136, PITCH: 0.811498, YAW: 0.963828
TIMESTAMP: 2.000000, X: 0.395966, Y: -0.267796, Z: -4.315276, PITCH: 0.822017, YAW: 0.976322
TIMESTAMP: 2.100000, X: 0.388168, Y: -0.280071, Z: -4.369592, PITCH: 0.832554, YAW: 0.988837
TIMESTAMP: 2.200000, X: 0.379956, Y: -0.293227, Z: -4.429150, PITCH: 0.843133, YAW: 1.001401
TIMESTAMP: 2.300000, X: 0.371404, Y: -0.307203, Z: -4.493977, PITCH: 0.853701, YAW: 1.013953
TIMESTAMP: 2.400000, X: 0.362601, Y: -0.321923, Z: -4.564058, PITCH: 0.864248, YAW: 1.026479
TIMESTAMP: 2.500000, X: 0.353644, Y: -0.337301, Z: -4.639335, PITCH: 0.874800, YAW: 1.039012
TIMESTAMP: 2.600000, X: 0.344642, Y: -0.353236, Z: -4.719713, PITCH: 0.885363, YAW: 1.051558
TIMESTAMP: 2.700000, X: 0.335716, Y: -0.369618, Z: -4.805055, PITCH: 0.895924, YAW: 1.064102
